tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-sex,attachment-type,deployment-comments,deployment-id,tag-comments
twiga_ceres_tag.0-3602224.6c0827c0-b495-4c17-aae9-3fd06d752987,GCF00414_2949,Giraffa giraffa,2021-08-06 00:00:00.000,2021-11-28 23:59:00.000,m,other,,91807dc2-e184-4101-88c5-07a46111704b,tail
IRI2016-3843,GCF00390_2696,Giraffa giraffa,2021-08-06 00:00:00.000,2021-12-19 23:59:00.000,f,other,fell off,0cceb2a2-f8dc-4586-9fa4-92603c58fd57,tail
twiga_ceres_tag.0-3601862.6c0827c0-b495-4c17-aae9-3fd06d752987,GCF00390_2696,Giraffa giraffa,2021-08-06 00:00:00.000,2022-01-27 23:59:00.000,f,ear-tag,,4f3abf82-57ab-4486-801e-9192a51f3226,outside left
twiga_ceres_tag.0-3601407.6c0827c0-b495-4c17-aae9-3fd06d752987,GCF00389_2428,Giraffa giraffa,2021-08-06 00:00:00.000,2024-12-30 12:00:00.000,f,ear-tag,,89a3f134-8715-4d14-8564-3ad221c42097,inside right
twiga_ceres_tag.0-3601944.6c0827c0-b495-4c17-aae9-3fd06d752987,GCF00401_2801,Giraffa giraffa,2021-08-09 00:00:00.000,2022-09-05 23:59:00.000,m,ear-tag,,1d9ac8bf-7fe9-4d1a-a434-79c13b933103,outside right
